article_id,n_events,dominant_type,nmf_topic,nmf_label,nmf_score,louvain_community,louvain_label,hdbscan_cluster,hdbscan_label,x_2d,y_2d
699c1c51bf23573ae1689dba,6,Event,13,monde | tribune | tribune monde | hui,0.0871,1840,avez | tamagotchi | réel,0,président | pourrait | contre,-7.2272,-1.2448
699c1ea9bf23573ae1689dbb,3,Event,8,trump | donald | donald trump | américain,0.0479,1841,énergétique | phuc | chemin,1,france | provoquer | attaquant,-0.0366,8.1715
699c2101bf23573ae1689dbc,4,Event,2,contre | annoncé | israël | dimanche,0.0384,1842,énergies | politique | ment,1,france | provoquer | attaquant,0.1268,7.4073
699c2101bf23573ae1689dbd,3,Event,10,unis | etats | etats unis | états unis,0.1499,1843,accord | états | affirmant,1,france | provoquer | attaquant,23.7615,4.5281
699c2359bf23573ae1689dbe,11,Event,4,jeux | milan | cortina | milan cortina,0.1013,1695,hiver | financiers | défis,1,france | provoquer | attaquant,8.0375,-1.3094
699c2809bf23573ae1689dc1,5,Event,18,loi | nationale | assemblée | assemblée nationale,0.021,1844,compléter | nécessaires | unités,1,france | provoquer | attaquant,10.8432,5.826
699c2809bf23573ae1689dc2,9,Event,13,monde | tribune | tribune monde | hui,0.0857,1845,loyer | vie | gagner,1,france | provoquer | attaquant,22.4776,3.7081
699c2809bf23573ae1689dbf,3,Event,13,monde | tribune | tribune monde | hui,0.0525,1846,gagnante | grande | fresque,1,france | provoquer | attaquant,2.9787,-9.2645
699c2809bf23573ae1689dc0,6,Event,16,mencho | el mencho | el | oseguera,0.1753,1847,cartels | drogue | opération,1,france | provoquer | attaquant,15.2889,-1.4254
699c2809bf23573ae1689dc3,10,Event,8,trump | donald | donald trump | américain,0.0744,383,iran | unis | trump,1,france | provoquer | attaquant,5.8383,-0.1323
699c2a61bf23573ae1689dc4,5,Event,6,militant | deranque | mort | quentin,0.1058,1848,administration | trump | tenus,1,france | provoquer | attaquant,16.5786,1.1927
699c2a61bf23573ae1689dc5,9,Event,4,jeux | milan | cortina | milan cortina,0.1112,1849,olympique | sites | estime,1,france | provoquer | attaquant,-6.4563,13.2013
699c2cb9bf23573ae1689dc6,3,Event,12,ukraine | russie | russe | guerre,0.0789,1850,zaporijjia | trouvé | régions,1,france | provoquer | attaquant,23.8478,3.1813
699c3169bf23573ae1689dc8,6,Event,10,unis | etats | etats unis | états unis,0.1273,383,iran | unis | trump,0,président | pourrait | contre,-7.8757,-0.0026
699c33c2bf23573ae1689dcb,1,Event,12,ukraine | russie | russe | guerre,0.0181,1851,situation | rybinski | international,1,france | provoquer | attaquant,8.6097,-13.0078
699c33c2bf23573ae1689dcc,6,Event,10,unis | etats | etats unis | états unis,0.0937,1852,mamdani | milliers | vols,1,france | provoquer | attaquant,3.379,0.0953
699c33c2bf23573ae1689dcd,2,Event,16,mencho | el mencho | el | oseguera,0.3531,1853,violence | usage | puissant,1,france | provoquer | attaquant,8.4686,-12.8367
699c33c2bf23573ae1689dca,1,Event,10,unis | etats | etats unis | états unis,0.0189,1854,étudiants | régime | rues,1,france | provoquer | attaquant,3.0737,17.4071
699c33c6bf23573ae1689dd1,7,Event,16,mencho | el mencho | el | oseguera,0.2756,1855,cjng | éclaté | chef,1,france | provoquer | attaquant,15.3194,-1.3965
699c33c2bf23573ae1689dcf,7,Event,17,ministre | première | paris | france,0.0411,1856,requins | décision | janvier2024,1,france | provoquer | attaquant,15.3169,-1.3948
699c33c2bf23573ae1689dc9,2,Event,12,ukraine | russie | russe | guerre,0.1953,1857,ukraine | milliards | centaines,1,france | provoquer | attaquant,12.9773,2.7078
699c33c2bf23573ae1689dd0,9,Event,12,ukraine | russie | russe | guerre,0.0763,1858,militaires | europe | anciens,1,france | provoquer | attaquant,10.5318,0.9315
699c33c2bf23573ae1689dce,5,Event,10,unis | etats | etats unis | états unis,0.1299,1859,militaire | récent | pays,1,france | provoquer | attaquant,11.3735,13.4899
699c3d22bf23573ae1689dd5,5,Event,13,monde | tribune | tribune monde | hui,0.0259,1860,ville | toute | autres,1,france | provoquer | attaquant,-0.0273,7.7827
699c3d22bf23573ae1689dd6,5,Event,4,jeux | milan | cortina | milan cortina,0.0903,1861,logements | encore | restent,1,france | provoquer | attaquant,11.0059,-7.6195
699c3d22bf23573ae1689dd4,2,Event,13,monde | tribune | tribune monde | hui,0.0322,1862,prendre | mondialisation | français,1,france | provoquer | attaquant,24.4138,-5.091
699c3d22bf23573ae1689dd3,11,Event,2,contre | annoncé | israël | dimanche,0.0452,936,soudan | tchad | manque,0,président | pourrait | contre,-9.9686,1.4313
699c3d22bf23573ae1689dd2,7,Event,12,ukraine | russie | russe | guerre,0.0507,1863,hongrie | sanctions | augmenter,1,france | provoquer | attaquant,4.4683,0.3201
699c41d2bf23573ae1689dd7,8,Event,18,loi | nationale | assemblée | assemblée nationale,0.0549,1864,audiences | jours | dessus,1,france | provoquer | attaquant,10.4888,0.8834
699c4682bf23573ae1689dd9,1,Event,11,internationale | spatiale | française | station,0.0785,1865,situation | internationale | corpet,1,france | provoquer | attaquant,8.5621,-12.9628
699c4683bf23573ae1689dda,2,Event,12,ukraine | russie | russe | guerre,0.0617,1866,zaporijjia | région | celle,1,france | provoquer | attaquant,4.6164,10.1597
699c4682bf23573ae1689dd8,7,Event,12,ukraine | russie | russe | guerre,0.2762,1867,russie | france24 | interrogé,1,france | provoquer | attaquant,2.9839,-0.1687
699c4b33bf23573ae1689ddb,11,Event,12,ukraine | russie | russe | guerre,0.2314,1868,enfants | victimes | visages,1,france | provoquer | attaquant,18.0902,9.9168
699c4d8bbf23573ae1689ddd,8,Event,4,jeux | milan | cortina | milan cortina,0.1141,1869,ans | peine | demi,1,france | provoquer | attaquant,2.702,-10.9397
699c4d8bbf23573ae1689dde,4,Event,2,contre | annoncé | israël | dimanche,0.0279,1870,uvira | cité | m23,1,france | provoquer | attaquant,1.0745,8.8107
699c5493bf23573ae1689de0,7,Event,4,jeux | milan | cortina | milan cortina,0.1804,1871,jeux | édition | plusieurs,0,président | pourrait | contre,-6.8954,-1.0751
699c5493bf23573ae1689ddf,5,Event,8,trump | donald | donald trump | américain,0.162,1872,suprême | lieu | jugeant,1,france | provoquer | attaquant,6.1867,-11.5665
699c56ebbf23573ae1689de1,3,Event,7,vigilance | départements | garonne | france,0.0216,1873,sept | vingt | étoffe,1,france | provoquer | attaquant,3.0661,-8.8073
699c5943bf23573ae1689de2,9,Event,12,ukraine | russie | russe | guerre,0.1927,1874,acte | invasion | vladimir,1,france | provoquer | attaquant,3.246,1.4109
699c5b9bbf23573ae1689de3,4,Event,3,problème sécurité | problème | sécurité non | provoquer problème,0.0451,1875,renier | qanon | non,1,france | provoquer | attaquant,2.9842,-9.2384
699c5b9bbf23573ae1689de4,6,Event,12,ukraine | russie | russe | guerre,0.165,1876,ukraine | 90milliards | voté,1,france | provoquer | attaquant,4.1996,0.3812
699c5df3bf23573ae1689de5,3,Event,3,problème sécurité | problème | sécurité non | provoquer problème,0.4527,1877,sécurité | provoquer | problème,1,france | provoquer | attaquant,13.8859,14.2116
699c5df3bf23573ae1689de6,5,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0159,1878,conseils | restent | surreprésentés,1,france | provoquer | attaquant,17.6271,7.7088
699c5df4bf23573ae1689de7,5,Event,14,intelligence | artificielle | intelligence artificielle | new,0.0169,1879,analyse | fr | cert,1,france | provoquer | attaquant,10.8801,5.6344
699c604cbf23573ae1689de8,2,Event,8,trump | donald | donald trump | américain,0.0183,1880,washington | régler | ouverture,1,france | provoquer | attaquant,7.0276,-11.818
699c604cbf23573ae1689de9,3,Event,18,loi | nationale | assemblée | assemblée nationale,0.0347,1881,vont | toutes | connaissance,1,france | provoquer | attaquant,23.8472,3.1832
699c62a4bf23573ae1689dea,5,Event,13,monde | tribune | tribune monde | hui,0.0123,1882,matière | prometteuse | perspective,1,france | provoquer | attaquant,3.4005,-0.0611
699c62a4bf23573ae1689dec,14,Event,16,mencho | el mencho | el | oseguera,0.376,1883,mort | cartel | riposte,1,france | provoquer | attaquant,18.0782,9.9026
699c62a4bf23573ae1689deb,12,Event,12,ukraine | russie | russe | guerre,0.105,1884,longtemps | vivent | empêche,1,france | provoquer | attaquant,7.9528,-1.3063
699c62a4bf23573ae1689ded,6,Event,13,monde | tribune | tribune monde | hui,0.0168,1885,accidents | climatiques | provoque,1,france | provoquer | attaquant,4.988,0.1093
699c6754bf23573ae1689def,1,Event,18,loi | nationale | assemblée | assemblée nationale,0.0331,1886,énergétique | rénovation | nouveau,1,france | provoquer | attaquant,11.3457,3.4869
699c6754bf23573ae1689dee,3,Event,8,trump | donald | donald trump | américain,0.0887,1887,vendredi | partie | nouveau,1,france | provoquer | attaquant,0.7287,8.9025
699c6754bf23573ae1689df0,4,Event,13,monde | tribune | tribune monde | hui,0.0575,1888,trop | tient | rang,1,france | provoquer | attaquant,7.0722,-11.8477
699c6754bf23573ae1689df1,3,Event,18,loi | nationale | assemblée | assemblée nationale,0.0564,1889,gauche | renaissance | 57,1,france | provoquer | attaquant,0.789,8.8918
699c69acbf23573ae1689df2,12,Event,17,ministre | première | paris | france,0.0408,1890,secours | pghm | tournage,1,france | provoquer | attaquant,8.8964,-0.9145
699c6c04bf23573ae1689df3,4,Event,16,mencho | el mencho | el | oseguera,0.3986,1891,jalisco | alias | cartel,1,france | provoquer | attaquant,15.26,-1.3421
699c6c04bf23573ae1689df4,4,Event,2,contre | annoncé | israël | dimanche,0.0079,1892,expulsions | respecter | egypte,1,france | provoquer | attaquant,12.8936,2.6239
699c6e5cbf23573ae1689df5,4,Event,17,ministre | première | paris | france,0.0499,1893,aménageables | bygmalion | ferme,1,france | provoquer | attaquant,24.7042,4.065
699c70b4bf23573ae1689df6,6,Event,19,pays | plusieurs | mardi | sexuelles,0.0431,1894,électorat | mauvaise | abstention,1,france | provoquer | attaquant,22.8054,4.0557
699c70b4bf23573ae1689df7,9,Event,18,loi | nationale | assemblée | assemblée nationale,0.1013,1895,droits | défendu | sociaux,1,france | provoquer | attaquant,11.5866,5.7609
