id_1,id_2,cosine,sim_structure,sij,type_1,type_2
698b36278f03efde04a87aee,699db87414081821d1eea329,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698b362a8f03efde04a87af9,698f3c3f34efc5d3aac0fafc,1.0,1.0,1.0,Thing/Abstract/Event/Avoid,Thing/Abstract/Event/Avoid
698b362a8f03efde04a87af9,698f3c4434efc5d3aac0fb10,1.0,1.0,1.0,Thing/Abstract/Event/Avoid,Thing/Abstract/Event/Avoid
698b362b8f03efde04a87b06,698b41a58f03efde04a87ca8,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b362b8f03efde04a87b06,698c88c19966a5e0139f0a06,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b362b8f03efde04a87b06,698c88c29966a5e0139f0a12,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b36318f03efde04a87b15,699c5df86736db9dc26e6c15,1.0,1.0,1.0,Thing/Abstract/Event/Occurrence,Thing/Abstract/Event/Occurrence
698b36318f03efde04a87b16,699c5df86736db9dc26e6c16,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698b36318f03efde04a87b18,699c5df86736db9dc26e6c18,1.0,1.0,1.0,Thing/Abstract/Event/Publish,Thing/Abstract/Event/Publish
698b36318f03efde04a87b19,699c5df86736db9dc26e6c19,1.0,1.0,1.0,Thing/Abstract/Event/Estimate,Thing/Abstract/Event/Estimate
698b36338f03efde04a87b2d,698f3c6f34efc5d3aac0fb2d,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698b36338f03efde04a87b2d,69986f8b6736db9dc26e6185,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698b36338f03efde04a87b30,698b36398f03efde04a87b4b,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b36338f03efde04a87b31,698b36398f03efde04a87b4c,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698b36338f03efde04a87b33,69986f926736db9dc26e619e,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698b36338f03efde04a87b34,69986f926736db9dc26e619f,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698b36338f03efde04a87b35,69986f926736db9dc26e61a0,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b38438f03efde04a87b65,698b384d8f03efde04a87b97,1.0,1.0,1.0,Thing/Abstract/Event/Order,Thing/Abstract/Event/Order
698b38508f03efde04a87bae,698b38518f03efde04a87bc1,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
698b38518f03efde04a87bba,698b38648f03efde04a87c1e,1.0,1.0,1.0,Thing/Abstract/Event,Thing/Abstract/Event
698b38518f03efde04a87bba,698b386f8f03efde04a87c76,1.0,1.0,1.0,Thing/Abstract/Event,Thing/Abstract/Event
698b38648f03efde04a87c1e,698b386f8f03efde04a87c76,1.0,1.0,1.0,Thing/Abstract/Event,Thing/Abstract/Event
698b41a58f03efde04a87ca8,698c88c19966a5e0139f0a06,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b41a58f03efde04a87ca8,698c88c29966a5e0139f0a12,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698b41a68f03efde04a87cae,6995d4f26736db9dc26e58de,1.0,1.0,1.0,Thing/Abstract/Event/Avoid,Thing/Abstract/Event/Avoid
698b41a88f03efde04a87cce,698ddef2ae5fe60d6c619e1a,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698b41a88f03efde04a87cce,698f3c7034efc5d3aac0fb30,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698b41a88f03efde04a87cce,6995d4f36736db9dc26e58ee,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698b41a88f03efde04a87cce,69986f8b6736db9dc26e6188,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698b4faf8f03efde04a87d22,698b8ca58f03efde04a87e4f,1.0,1.0,1.0,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation
698b4faf8f03efde04a87d23,698b8ca58f03efde04a87e50,1.0,1.0,1.0,Thing/Abstract/Event/Build,Thing/Abstract/Event/Build
698b4faf8f03efde04a87d24,698b8ca58f03efde04a87e51,1.0,1.0,1.0,Thing/Abstract/Event/Characterize,Thing/Abstract/Event/Characterize
698b4faf8f03efde04a87d25,698b8ca58f03efde04a87e52,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
698b60398f03efde04a87d55,698c1bfb8f03efde04a87f38,1.0,1.0,1.0,Thing/Abstract/Event/Act,Thing/Abstract/Event/Act
698b8cb98f03efde04a87e63,698b8cb98f03efde04a87e6a,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698b8cb98f03efde04a87e64,698b8cb98f03efde04a87e6b,1.0,1.0,1.0,Thing/Abstract/Event/Process,Thing/Abstract/Event/Process
698b8cb98f03efde04a87e68,698b8cba8f03efde04a87e72,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
698ba1df8f03efde04a87e90,698c7f5b9966a5e0139f099f,1.0,1.0,1.0,Thing/Abstract/Event/Killing,Thing/Abstract/Event/Killing
698ba1df8f03efde04a87e91,698c7f5b9966a5e0139f09a0,1.0,1.0,1.0,Thing/Abstract/Event/Emotional,Thing/Abstract/Event/Emotional
698c44c09966a5e0139f0880,698c81b39966a5e0139f09c1,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698c59e39966a5e0139f08d1,698c7f719966a5e0139f09b5,1.0,1.0,1.0,Thing/Abstract/Event/DiplomaticEvent/Gathering/DiplomaticGathering,Thing/Abstract/Event/DiplomaticEvent/Gathering/DiplomaticGathering
698c59e39966a5e0139f08d2,698c7f719966a5e0139f09b6,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698c59e39966a5e0139f08d3,698c7f719966a5e0139f09b7,1.0,1.0,1.0,Thing/Abstract/Event/Talk,Thing/Abstract/Event/Talk
698c7f5c9966a5e0139f09a6,698da96f9966a5e0139f0dee,1.0,1.0,1.0,Thing/Abstract/Event/Throw,Thing/Abstract/Event/Throw
698c7f5c9966a5e0139f09a7,698da96f9966a5e0139f0def,1.0,1.0,1.0,Thing/Abstract/Event/About,Thing/Abstract/Event/About
698c7f5c9966a5e0139f09a8,698da96f9966a5e0139f0df0,1.0,1.0,1.0,Thing/Abstract/Event/Judgment,Thing/Abstract/Event/Judgment
698c7f5c9966a5e0139f09a9,698da96f9966a5e0139f0df1,1.0,1.0,1.0,Thing/Abstract/Event/Rape,Thing/Abstract/Event/Rape
698c7f5c9966a5e0139f09aa,698da96f9966a5e0139f0df2,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698c7f5c9966a5e0139f09ab,698dbcf9c6eaab43a9ad777f,1.0,1.0,1.0,Thing/Abstract/Event/Murder,Thing/Abstract/Event/Murder
698c7f5c9966a5e0139f09ac,698dbcf9c6eaab43a9ad7780,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698c7f5c9966a5e0139f09ad,698dbcf9c6eaab43a9ad7781,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698c7f5c9966a5e0139f09ae,698dbcf9c6eaab43a9ad7782,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
698c88bd9966a5e0139f09f8,698ddef1ae5fe60d6c619e10,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698c88c19966a5e0139f0a06,698c88c29966a5e0139f0a12,1.0,1.0,1.0,Thing/Abstract/Event/Move,Thing/Abstract/Event/Move
698d49339966a5e0139f0cd7,698d73649966a5e0139f0d10,1.0,1.0,1.0,Thing/Abstract/Event/Open,Thing/Abstract/Event/Open
698d49339966a5e0139f0cd8,698d73649966a5e0139f0d11,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698d49339966a5e0139f0cd9,698d73649966a5e0139f0d12,1.0,1.0,1.0,Thing/Abstract/Event/Transfer,Thing/Abstract/Event/Transfer
698d49339966a5e0139f0cda,698d73649966a5e0139f0d13,1.0,1.0,1.0,Thing/Abstract/Event/Own,Thing/Abstract/Event/Own
698d49339966a5e0139f0cdb,698d73649966a5e0139f0d14,1.0,1.0,1.0,Thing/Abstract/Event/Addition,Thing/Abstract/Event/Addition
698d9db69966a5e0139f0da8,698efa9c34efc5d3aac0f9a3,1.0,1.0,1.0,Thing/Abstract/Event/Protect,Thing/Abstract/Event/Protect
698d9db69966a5e0139f0da9,698efa9c34efc5d3aac0f9a4,1.0,1.0,1.0,Thing/Abstract/Event/Be,Thing/Abstract/Event/Be
698da4be9966a5e0139f0dba,698ddc80ae5fe60d6c619df5,1.0,1.0,1.0,Thing/Abstract/Event/Demonstration,Thing/Abstract/Event/Demonstration
698da4be9966a5e0139f0dbb,698ddc80ae5fe60d6c619df6,1.0,1.0,1.0,Thing/Abstract/Event,Thing/Abstract/Event
698da4be9966a5e0139f0dbc,698ddc80ae5fe60d6c619df7,1.0,1.0,1.0,Thing/Abstract/Event/Conjecture,Thing/Abstract/Event/Conjecture
698ddef2ae5fe60d6c619e1a,698f3c7034efc5d3aac0fb30,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698ddef2ae5fe60d6c619e1a,6995d4f36736db9dc26e58ee,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698ddef2ae5fe60d6c619e1a,69986f8b6736db9dc26e6188,1.0,1.0,1.0,Thing/Abstract/Event/Reject,Thing/Abstract/Event/Reject
698ddef7ae5fe60d6c619e1c,69971d9a6736db9dc26e5d12,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698ddef7ae5fe60d6c619e1c,699db87414081821d1eea327,1.0,1.0,1.0,Thing/Abstract/Event/Discover,Thing/Abstract/Event/Discover
698ddef7ae5fe60d6c619e1d,69971d9a6736db9dc26e5d13,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698ddef7ae5fe60d6c619e1d,699db87414081821d1eea328,1.0,1.0,1.0,Thing/Abstract/Event/Engender,Thing/Abstract/Event/Engender
698ddef7ae5fe60d6c619e1e,69971d9a6736db9dc26e5d14,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698ddef7ae5fe60d6c619e1e,699db87414081821d1eea329,1.0,1.0,1.0,Thing/Abstract/Event/Unknown,Thing/Abstract/Event/Unknown
698dea6f34efc5d3aac0f673,698ebfdb34efc5d3aac0f8cf,1.0,1.0,1.0,Thing/Abstract/Event/Build,Thing/Abstract/Event/Build
698dea6f34efc5d3aac0f673,698f0b0734efc5d3aac0fa0a,1.0,1.0,1.0,Thing/Abstract/Event/Build,Thing/Abstract/Event/Build
