event_id_1,event_id_2,cosine_score
698c7f5c9966a5e0139f09ae,698dbcf9c6eaab43a9ad7782,1.0
698c99409966a5e0139f0a77,698c99409966a5e0139f0a78,1.0
698c99409966a5e0139f0a77,698c99409966a5e0139f0a79,1.0
698cb7bb9966a5e0139f0b6d,698cb7bb9966a5e0139f0b6e,1.0
698cb7bb9966a5e0139f0b6d,698cb7bb9966a5e0139f0b6f,1.0
698cc3739966a5e0139f0bcf,698cc3739966a5e0139f0bd0,1.0
698cc3739966a5e0139f0bcf,698cc3739966a5e0139f0bd4,1.0
698ceda79966a5e0139f0c52,698ceda79966a5e0139f0c53,1.0
698d26069966a5e0139f0cb2,698d26069966a5e0139f0cb3,1.0
698d26079966a5e0139f0cb6,698d26079966a5e0139f0cb7,1.0
698d49339966a5e0139f0cd7,698d73649966a5e0139f0d10,1.0
698d49339966a5e0139f0cd8,698d73649966a5e0139f0d11,1.0
698d49339966a5e0139f0cd9,698d73649966a5e0139f0d12,1.0
698d49339966a5e0139f0cda,698d73649966a5e0139f0d13,1.0
698d49339966a5e0139f0cdb,698d73649966a5e0139f0d14,1.0
698d818b9966a5e0139f0d54,698d818b9966a5e0139f0d55,1.0
698da0089966a5e0139f0db3,698da0089966a5e0139f0db4,1.0
698da25c9966a5e0139f0db7,698da25c9966a5e0139f0db8,1.0
698da4be9966a5e0139f0dba,698ddc80ae5fe60d6c619df5,1.0
698da4be9966a5e0139f0dbb,698ddc80ae5fe60d6c619df6,1.0
698da4be9966a5e0139f0dbc,698ddc80ae5fe60d6c619df7,1.0
698da70d9966a5e0139f0dd3,698da70d9966a5e0139f0dd4,1.0
698dbcf8c6eaab43a9ad7776,698dbcf8c6eaab43a9ad7777,1.0
698de11834efc5d3aac0f650,698de11834efc5d3aac0f651,1.0
698dea6f34efc5d3aac0f673,698ebfdb34efc5d3aac0f8cf,1.0
698dea6f34efc5d3aac0f673,698f0b0734efc5d3aac0fa0a,1.0
698dea6f34efc5d3aac0f674,698ebfdb34efc5d3aac0f8d0,1.0
698dea6f34efc5d3aac0f674,698f0b0734efc5d3aac0fa0b,1.0
698e124b34efc5d3aac0f77e,698e124b34efc5d3aac0f77f,1.0
698e66c834efc5d3aac0f863,698e66c834efc5d3aac0f864,1.0
698e66c834efc5d3aac0f863,698e66c834efc5d3aac0f865,1.0
698e6dd134efc5d3aac0f868,698e6dd134efc5d3aac0f869,1.0
698ed29934efc5d3aac0f91e,698ed29934efc5d3aac0f91f,1.0
698ed9a734efc5d3aac0f935,698ed9a734efc5d3aac0f936,1.0
698eea2934efc5d3aac0f94b,698eea2934efc5d3aac0f94c,1.0
698eea2934efc5d3aac0f94b,698eea2934efc5d3aac0f94d,1.0
698eeed934efc5d3aac0f966,698eeed934efc5d3aac0f967,1.0
698eeed934efc5d3aac0f966,698eeeda34efc5d3aac0f968,1.0
698eeeda34efc5d3aac0f96a,698eeeda34efc5d3aac0f96b,1.0
698f08a434efc5d3aac0f9ef,698f08a434efc5d3aac0f9f0,1.0
698f3c3d34efc5d3aac0faf7,698f3c3d34efc5d3aac0faf8,1.0
698f3c3f34efc5d3aac0fafc,698f3c4434efc5d3aac0fb10,1.0
698f3c4734efc5d3aac0fb1a,698f3c6234efc5d3aac0fb27,1.0
698f3c6c34efc5d3aac0fb29,698f3c6c34efc5d3aac0fb2a,1.0
698f5ad034efc5d3aac0fbaf,698f5ad034efc5d3aac0fbb0,1.0
698f6fea34efc5d3aac0fc54,698f6fea34efc5d3aac0fc55,1.0
6990303c34efc5d3aac0fda6,6990303c34efc5d3aac0fda7,1.0
6990303c34efc5d3aac0fda6,6990303c34efc5d3aac0fda8,1.0
6990374834efc5d3aac0fdc3,69903bf834efc5d3aac0fddd,1.0
6990374834efc5d3aac0fdc4,69903bf834efc5d3aac0fdde,1.0
6990374834efc5d3aac0fdc5,69903bf834efc5d3aac0fddf,1.0
6990374934efc5d3aac0fdc6,69903bf834efc5d3aac0fde0,1.0
6990374a34efc5d3aac0fdd4,6990374a34efc5d3aac0fdd5,1.0
69903bfb34efc5d3aac0fde7,69903bfb34efc5d3aac0fde8,1.0
69904ed334efc5d3aac0fe2f,69904ed334efc5d3aac0fe30,1.0
6990538f34efc5d3aac0fe36,69905cf034efc5d3aac0fe74,1.0
6990538f34efc5d3aac0fe37,69905cf034efc5d3aac0fe75,1.0
69905ce834efc5d3aac0fe71,69905ce834efc5d3aac0fe72,1.0
69906d5034efc5d3aac0fea1,69906d5034efc5d3aac0fea2,1.0
69906fab34efc5d3aac0fea8,69906fab34efc5d3aac0fea9,1.0
6990908334efc5d3aac0ff28,6990908334efc5d3aac0ff29,1.0
69909e8834efc5d3aac0ff40,69909e8834efc5d3aac0ff41,1.0
69909e8834efc5d3aac0ff40,69909e8834efc5d3aac0ff42,1.0
69909e8834efc5d3aac0ff40,69909e8934efc5d3aac0ff43,1.0
6990a33734efc5d3aac0ff5c,6990a33734efc5d3aac0ff5d,1.0
6990a59034efc5d3aac0ff6c,6990a59034efc5d3aac0ff6d,1.0
6990a59034efc5d3aac0ff6c,6990a59034efc5d3aac0ff6e,1.0
6990c66f34efc5d3aac0ffb7,6990c66f34efc5d3aac0ffb8,1.0
